Wall time,Step,Value
1763710235.1506388,0,9.999999747378752e-05
1763710379.8637195,1,9.999999747378752e-05
1763710524.926084,2,9.999999747378752e-05
1763710670.579156,3,9.999999747378752e-05
1763710818.3171856,4,9.999999747378752e-05
1763710965.9668086,5,9.999999747378752e-05
1763711110.5384235,6,9.999999747378752e-05
1763711255.2589028,7,9.999999747378752e-05
1763711403.825945,8,9.999999747378752e-05
1763711552.553991,9,9.999999747378752e-05
1763711684.9190774,10,9.999999747378752e-05
1763711825.6279087,11,9.999999747378752e-05
1763711969.8294551,12,9.999999747378752e-05
1763712115.8125873,13,9.999999747378752e-05
1763712262.5603647,14,9.999999747378752e-05
1763712406.7062476,15,9.999999747378752e-05
1763712553.3158143,16,9.999999747378752e-05
1763712699.9901466,17,9.999999747378752e-05
1763712837.3136501,18,9.999999747378752e-05
1763712982.3945985,19,9.999999747378752e-05
1763713124.1971157,20,9.999999747378752e-05
1763713267.7241712,21,9.999999747378752e-05
1763713414.4519985,22,9.999999747378752e-05
1763713557.024482,23,9.999999747378752e-05
1763713703.2546334,24,9.999999747378752e-05
1763713849.146114,25,9.999999747378752e-05
1763713996.9518363,26,9.999999747378752e-05
1763714145.3826616,27,9.999999747378752e-05
1763714294.1630738,28,9.999999747378752e-05
1763714438.7397847,29,9.999999747378752e-05
1763714586.5889783,30,9.999999747378752e-05
1763714731.9211795,31,9.999999747378752e-05
1763714871.7276354,32,9.999999747378752e-05
1763715017.4001088,33,9.999999747378752e-05
1763715162.689399,34,9.999999747378752e-05
1763715309.8693566,35,9.999999747378752e-05
1763715456.2698855,36,9.999999747378752e-05
1763715603.0248399,37,9.999999747378752e-05
1763715750.079927,38,9.999999747378752e-05
1763715893.9208436,39,7.000000186963007e-05
1763716037.2717497,40,7.000000186963007e-05
1763716181.0756927,41,7.000000186963007e-05
1763716324.925437,42,7.000000186963007e-05
1763716471.823546,43,7.000000186963007e-05
1763716618.3667078,44,7.000000186963007e-05
1763716767.2857924,45,7.000000186963007e-05
1763716915.1770687,46,7.000000186963007e-05
1763717062.8878474,47,7.000000186963007e-05
1763717209.4594393,48,7.000000186963007e-05
1763717356.266374,49,7.000000186963007e-05
1763717505.3768387,50,7.000000186963007e-05
1763717652.6025674,51,7.000000186963007e-05
1763717799.812125,52,7.000000186963007e-05
1763717945.8979666,53,7.000000186963007e-05
1763718092.8269145,54,7.000000186963007e-05
1763718239.8490443,55,7.000000186963007e-05
1763718386.561297,56,7.000000186963007e-05
1763718535.6417372,57,7.000000186963007e-05
1763718684.557507,58,7.000000186963007e-05
1763718831.9166427,59,7.000000186963007e-05
1763718979.5643992,60,7.000000186963007e-05
1763719126.4520028,61,7.000000186963007e-05
1763719275.693635,62,7.000000186963007e-05
1763719423.7486,63,7.000000186963007e-05
1763719571.1981964,64,7.000000186963007e-05
1763719719.7492461,65,7.000000186963007e-05
1763719867.1397467,66,7.000000186963007e-05
1763720014.086804,67,7.000000186963007e-05
1763720161.9531348,68,7.000000186963007e-05
1763720308.7834322,69,7.000000186963007e-05
1763720454.9120696,70,7.000000186963007e-05
1763720603.2945514,71,7.000000186963007e-05
1763720749.975935,72,7.000000186963007e-05
1763720899.4889731,73,7.000000186963007e-05
1763721047.1826737,74,7.000000186963007e-05
1763721194.6356423,75,7.000000186963007e-05
1763721343.2973218,76,7.000000186963007e-05
1763721492.3830414,77,7.000000186963007e-05
1763721640.2303169,78,7.000000186963007e-05
1763721788.293296,79,4.8999998398358e-05
1763721934.9875016,80,4.8999998398358e-05
1763722082.618258,81,4.8999998398358e-05
1763722230.7182033,82,4.8999998398358e-05
1763722377.7165134,83,4.8999998398358e-05
1763722526.0928264,84,4.8999998398358e-05
1763722673.4775603,85,4.8999998398358e-05
1763722824.560488,86,4.8999998398358e-05
1763722972.1650226,87,4.8999998398358e-05
1763723119.9706478,88,4.8999998398358e-05
1763723266.9870834,89,4.8999998398358e-05
1763723410.0195315,90,4.8999998398358e-05
1763723557.6265535,91,4.8999998398358e-05
1763723704.7931435,92,4.8999998398358e-05
1763723852.609768,93,4.8999998398358e-05
1763724000.0943851,94,4.8999998398358e-05
1763724147.2197802,95,4.8999998398358e-05
1763724295.4539266,96,4.8999998398358e-05
1763724443.050823,97,4.8999998398358e-05
1763724590.1316745,98,4.8999998398358e-05
1763724735.8940227,99,4.8999998398358e-05
